cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_reg,region,cve_local,nom_local,no,catmpf,oficio,fecha,inscripcion,codigo
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,1,31/N2-0059/10/08 ,726.4/UARRN/241/2008/002393,39763,Lib. YUC T-TI Vol. 1 Núm. 1 Año 08,T-31-050-CAM-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,2,31/N2-0078/10/08 ,726.4/UARRN-DSFS/252/2008/002448,39771,YUC T-TI Vol. 10 Núm. 1 Año 12,T-31-050-CIG-001
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,3,31/N2-0088/10/08 ,726.4/UARRN-DSFS/245/2008/002397,39764,Lib. YUC T-TI Vol. 10 Núm. 5 Año 12,T-31-050-MAP-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,4,31/N2-0089/10/08 ,726.4-UARRN-DSFS/246/2008/002446,39771,Lib. YUC T-TI Vol. 10 Núm. 2 Año 12,T-31-050-050-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,5,31/N2-0090/10/08 ,726.4/UARRN/247/2008-002418,39765,Lib. YUC T-TI Vol. 9 Núm. 48 Año 12,T-31-050-PEW-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,6,31/N2-0091/10/08 ,726.4/UARRN/248/2008,39765,Lib. YUC T-TI Vol. 9 Núm. 49 Año 12,T-31-050-PEJ-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,7,31/N2-0092/10/08 ,726.4/UARRN/253/2008/002459,39771,Lib. YUC T-TI Vol. 10 Núm. 4 Año 12,T-31-050-MAE-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,8,31/N2-0093/10/08 ,726.4-UARRN/250/208/002447,39771,Lib. YUC T-TI Vol. 10 Núm. 3 Año 12,T-31-050-PEH-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,9,31/N2-0094/10/08 ,726.4/UARRN/249/2008-002421,39765,Lib. YUC T-TI Vol. 9 Núm. 50 Año 12,T-31-050-PES-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,10,31/N2-0097/10/08 ,726.4/UARRN/225/2008/002517,39776,Lib. YUC T-TI Vol. 10 Núm. 6 Año 12,T-31-050-CIJ-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,11,31/N2-0105/10/08 ,726.4/UARRN/265/2008/002551,39779,Lib. YUC T-TI Vol. 10 Núm. 7 Año 12,T-31-050-ADZ-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,12,31/N2-0031/11/08 ,726.47/UARRN/262/2008/002533,39777,Lib. YUC T-TI Vol. 10 Núm. 8 Año 12,T-31-050-PEN-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,13,31/N2-0052/11/08 ,726.4-/UARRN/270/2008/002666,39791,Lib. YUC T-TI Vol. 10 Núm. 9 Año 12,T-31-050-CIY-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,14,31/N2-0054/11/08 ,726.4/UARRN/264/2008/002534,39777,Lib. YUC T-TI Vol. 10 Núm. 10 Año 12,T-31-050-EHI-001/12
31,Yucatán,041,Kanasin,Kanasín,31041,41,II Noroeste ,,Kanasín,15,31/N2-0007/12/08 ,726.4/UARRN-DSFS/278/2008/002785,39801,Lib. YUC T-TI Vol. 9 Núm. 45 Año 08,T-31-041-AMD-001/08
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Dzityá,16,31/N2-0024/12/08 ,726.4/UARRN/273/2008/002689,39793,Lib. YUC T-TI Vol. 10 Núm. 11 Año 12,T-31-050-PEF-001/12
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Mérida,17,31/N2-0089/05/09 ,726.4/UARRN-DSFS/125/2009/001210,39976,Lib. YUC T-TI Vol. 9 Núm. 46 Año 09,T-31-050-FAR-001/09
31,Yucatán,066,Santa Elena,Santa Elena,31066,66,VII Sur ,,Tablaje Catastral 2490,18,31/N2-0074/12/09 ,726.4/UARRN-DSFS/006/2010/000064,40197,Lib. YUC T-TI Vol. 9 Núm. 47 Año 10,T-31-066-ELG-001/10
31,Yucatán,089,Ticul,Ticul,31089,89,VII Sur ,,Ticul,19,31/N2-0098/11/10,726.4/UARRN-DSFS-289,40519,Lib. YUC T-TI Vol. 10 Núm. 16 Año 14,T-31-089-YAH-001/10
31,Yucatán,016,Chacsinkin,Chacsinkín,31016,16,VI Oriente,,Chacsinkín,20,31/N2-0161/11/10 ,726.4/UARRN-DSFS/018/2011/,40561,Lib. YUC T-TI Vol. 10 Núm. 17 Año 14,T-31-016-CEN-001/11
31,Yucatán,079,Tekax,Tekax,31079,79,VII Sur ,,Tekax,21,31/G9-0107/06/12,726.4/UARRN-DSFS/301/2012-002093,41341,Lib. YUC T-TM Vol. 1 Núm. 1 Año 16,T-31-079-MAR-001/16
31,Yucatán,055,Opichen,Opichén,31055,55,I Poniente ,,Penxixim,22,31/N2-0104/01/13 ,726.4/UARRN-DSFS/072/2013/,41129,Lib. YUC T-TI Vol. 10 Núm. 12 Año 13,T-31-055-XIX-001/13
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Xcanatun,23,31/N2-0030/05/13 ,726.4/UARRN-DSFS/189/2013/1348,41422,Lib. YUC T-TI Vol. 10 Núm. 13 Año 13,T-31-050-EDG-001/13
31,Yucatán,039,Ixil,Ixil,31039,39,II Noroeste ,,Ixil,24,31/N2-0034/06/14 ,726.4/UARRN-DSFS/243/2014/,41829,Lib. YUC T-TI Vol. 10 Núm. 14 Año 14,T-31-039-VAR-001/14
31,Yucatán,096,Tizimin,Tizimín,31096,96,V Noreste ,,Sucopo,25,31/N2-0062/07/14 ,726.4/UARRN-DSFS/297/2014/,41885,Lib. YUC T-TI Vol. 10 Núm. 15 Año 14,T-31-096-ASI-001/14
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Mérida,26,31/N2-0035/11/14 ,726.4/UARRN-DSFS/029/2015/,42032,Lib. YUC T-TI Vol. 10 Núm. 18 Año 15,T-31-050-MAY-001/15
31,Yucatán,105,Yaxkukul,Yaxkukul,31105,105,II Noroeste ,,Yaxkukul,27,31/N2-0031/06/15 ,726.4/UARRN-DSFS/308/2015/,42257,Lib. YUC T-TI Vol. 10 Núm. 23 Año 15,T-31-105-JMP-001/15
31,Yucatán,054,Muxupip,Muxupip,31054,54,IV Litoral centro ,,Muxupip,28,31/N2-0032/06/15 ,726.4/UARRN-DSFS/310/2015/,42257,Lib. YUC T-TI Vol. 10 Núm. 22 Año 15,T-31-054-JMP-001/15
31,Yucatán,098,Tzucacab,Tzucacab,31098,98,VII Sur ,,Tablaje catastral 1659,29,31/N2-0067/06/15 ,726.4/UARRN-DSFS/291/2015/,42236,Lib. YUC T-TI Vol. 10 Núm. 21 Año 15,T-31-098-FOR-001/15
31,Yucatán,089,Ticul,Ticul,31089,89,VII Sur ,,Ticul,30,31/N2-0022/07/15 ,726.4/UARRN-DSFS/277/2015/,42223,Lib. YUC T-TI Vol. 10 Núm. 19 Año 15,T-31-089-GEM-001/15
31,Yucatán,089,Ticul,Ticul,31089,89,VII Sur ,,Ticul,31,31/N2-0079/07/15 ,726.4/UARRN-DSFS/279/2015/,42223,Lib. YUC T-TI Vol. 10 Núm. 20 Año 15,T-31-089-VAZ-001/15
31,Yucatán,079,Tekax,Tekax,31079,79,VII Sur ,,Salvador Alvarado,32,31/N2-0053/09/15 ,726.4/UARRN-DSFS/369/2015/,42298,Lib. YUC T-TI Vol. 10 Núm. 25 Año 15,T-31-079-XKO-001/15
31,Yucatán,079,Tekax,Tekax,31079,79,VII Sur ,,Salvador Alvarado,33,31/N2-0055/09/15 ,726.4/UARRN-DSFS/370/2015/,42300,Lib. YUC T-TI Vol. 10 Núm. 24 Año 15,T-31-079-AGU-001/15
31,Yucatán,090,Timucuy,Timucuy,31090,90,II Noroeste ,,Tekit de Regil,34,31/N2-0124/12/15 ,726.4/UARRN-DSFS/010/2016/,42383,Lib. YUC T-TI Vol. 1 Núm. 1 Año 16,T-31-090-MAD-001/16
31,Yucatán,090,Timucuy,Timucuy,31090,90,II Noroeste ,,Tekit de Regil,35,31/N2-0126/12/15 ,726.4/UARRN-DSFS/011/2016/,42384,Lib. YUC T-TI Vol. 1 Núm. 2 Año 16,T-31-090-MAD-002/16
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Tamanché,36,31/N2-0080/07/16 ,726.4/UARRN-DSFS/314/2016/,42633,Lib. YUC T-TI Vol. 1 Núm. 3 Año 16,T-31-050-MAD-001/16
31,Yucatán,041,Kanasin,Kanasín,31041,41,II Noroeste ,,Teya,37,31/N2-0005/08/16 ,726.4/UARRN/DSFS/368/2016/,42684,Lib. YUC T-TI Vol. 1 Núm. 4 Año 16,T-31-041-AVI-001/16
31,Yucatán,096,Tizimin,Tizimín,31096,96,V Noreste ,,Kikil,38,31/N2-0147/09/16 ,726.4/UARRN-DSFS/379/2016/,42690,Lib. YUC T-TI Vol. 1 Núm. 5 Año 16,T-31-096-ALT-001/16
31,Yucatán,041,Kanasin,Kanasín,31041,41,II Noroeste ,,Kanasín,39,31/N2-0039/11/16 ,726.4/UARRN-DSFS/382/2016/,42697,Lib. YUC T-TI Vol. 1 Núm. 6 Año 16,T-31-041-ECO-001/16
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Mérida,40,31/N2-0083/08/17 ,726.4/UARRN-DSFS/288/2017/,42979,Lib. YUC T-TI Vol. 1 Núm. 1 Año 17,T-31-050-KAN-001/17
31,Yucatán,053,Muna,Muna,31053,53,VII Sur ,,SAN JOSÉ TIPCEH,41,31/N2-0023/10/17 ,726.4/UARRN-DSFS/377/2017/,43068,Lib. YUC T-TI Vol. 1 Núm. 2 Año 17,T-31-053-SJT-001/17
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Mérida,42,31/N2-0131/10/17 ,726.4/UARRN-DSFS/378/2017/,43073,Lib. YUC T-TI Vol. 1 Núm. 3 Año 17,T-31-050-CHA-001/17
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Mérida,43,31/N2-0021/11/17 ,726.4/UARRN-DSFS/384/2017/,43080,Lib. YUC T-TI Vol. 1 Núm. 4 Año 17,T-31-050-CHA-002/17
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Mérida,44,31/N2-0022/11/17 ,726.4/UARRN-DSFS/391/2017/,43082,Lib. YUC T-TI Vol. 1 Núm. 6 Año 17,T-31-050-CHA-004/17
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Mérida,45,31/N2-0023/11/17 ,726.4/UARRN-DSFS/387/2017/,43081,Lib. YUC T-TI Vol. 1 Núm. 5 Año 17,T-31-050-CHA-003/17
31,Yucatán,059,Progreso,Progreso,31059,59,II Noroeste ,,Chelem,46,31/N2-0093/12/17 ,726.4/UARRN-DSFS/020/2018/,43124,Lib. YUC T-TI Vol. 1 Núm. 1 Año 18,T-31-059-ROL-001/18
31,Yucatán,096,Tizimin,Tizimín,31096,96,V Noreste ,,Samaria,47,31/N2-0141/03/18,726.4/UARRN-DSFS/123/2018/,43258,Lib. YUC T-TI Vol. 1 Núm. 2 Año 18,T-31-096-BIE-001/18
31,Yucatán,041,Kanasin,Kanasín,31041,41,II Noroeste ,,Kanasín,48,31/N2-0043/06/18 ,726.4/UARRN-DSFS/208/2018/,43285,Lib. YUC T-TI Vol. 1 Núm. 3 Año 18,T-31-050-HRS-001/18
31,Yucatán,050,Merida,Mérida,31050,50,II Noroeste ,,Mérida,49,31/N2-0051/01/19,726.4/UARRN-DSFS/069/2019/,43535,Lib. YUC T-TI Vol. 1 Núm. 1 Año 19,T-31-050-KAN-002/19
31,Yucatán,096,Tizimin,Tizimín,31096,96,V Noreste ,,Tizimin,50,31/N2-0111/05/19 ,726.4/UARRN-DSFS/206/2019/,43679,Lib. YUC T-TI Vol. 1 Núm. 2 Año 19,T-31-096-ALT-002/19
31,Yucatán,079,Tekax,Tekax,31079,79,VII Sur ,,Tekax,51,31/N2-0007/09/20,726.4/UARRN-DSFS/200/2020/,44165,Lib. YUC T-TI Vol. 1 Núm. 1 Año 20,T-31-079-ROB-001/20
