cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,id_region,region,cve_geo,id_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,050,Merida,Mérida,2,II Noroeste ,31050,1,Mérida,9331918,"(H) CONSULTORIO MERIDA, YUC.","(H) CONSULTORIO MERIDA, YUC. ",621111,Consultorios de medicina general del sector privado,0 a 5 personas,20.97054988,-89.62721284,2020-11
31,Yucatán       ,050,Merida,Mérida,2,II Noroeste ,31050,1,Mérida,4520583,100% OXIGENO CAMARA HIPERBARICA,MEDICINA HIPERBARICA DEL SURESTE SA DE CV,621113,Consultorios de medicina especializada del sector privado,6 a 10 personas,20.99440602,-89.64013661,2014-12
31,Yucatán       ,054,Muxupip,Muxupip,4,IV Litoral centro ,31054,1,Muxupip,4510684,A A GRUPO CONOCER LA SOBRIEDAD,ALCOHÓLICOS ANÓNIMOS ASOCIACIÓN CIVIL ,624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,0 a 5 personas,21.04230095,-89.32575957,2010-07
31,Yucatán       ,084,Temax,Temax,4,IV Litoral centro ,31084,1,Temax,4531954,A.A EL AHIJADO,ALCOHÓLICOS ANÓNIMOS AC,624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,6 a 10 personas,21.15535034,-88.93762906,2014-12
31,Yucatán       ,084,Temax,Temax,4,IV Litoral centro ,31084,1,Temax,4491354,AA 16 DE ABRIL,CENTRAL MEXICANA DE ALCOHOLICOS ANONIMOS AC,624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,6 a 10 personas,21.15367661,-88.93963469,2010-07
31,Yucatán       ,050,Merida,Mérida,2,II Noroeste ,31050,1,Mérida,4586645,AA 24 DE DICIEMBRE,ALCOHOLICOS ANONIMOS AC,624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,0 a 5 personas,20.93972908,-89.63628932,2010-07
31,Yucatán       ,007,Cacalchen,Cacalchén,4,IV Litoral centro ,31007,1,Cacalchén,7409792,AA ALCOLICOS ANONIMOS,,624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,6 a 10 personas,20.98611399,-89.22894864,2019-11
31,Yucatán       ,050,Merida,Mérida,2,II Noroeste ,31050,1,Mérida,4550010,AA COMPRENDIENDO TU SOLEDAD,CENTRAL MEXICANA DE SERVICIOS GENERALES DE ALCOHOLICOS ANONIMOS AC,624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,0 a 5 personas,20.93568562,-89.63003066,2014-12
31,Yucatán       ,050,Merida,Mérida,2,II Noroeste ,31050,1,Mérida,4513086,AA EMPEZANDO A VIVIR,CENTRAL MEXICANA DE ALCOHOLICOS ANONIMOS AC,624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,0 a 5 personas,21.00806189,-89.60099067,2010-07
31,Yucatán       ,038,Hunucma,Hunucmá,1,I Poniente ,31038,1,Hunucmá,4590255,AA GRUPO TERCERA TRADICION,AA GRUPO TERCERA TRADICION SC,624191,Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones,6 a 10 personas,21.01898004,-89.8865791,2010-07
31,Yucatán       ,102,Valladolid,Valladolid,6,VI Oriente,31102,1,Valladolid,4566386,ACTIVIDADES EMPRESARIALES FITNESS & HEALTH SOLUTIONS,,621391,Consultorios de nutriólogos y dietistas del sector privado,0 a 5 personas,20.68974458,-88.20846402,2014-12
