cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,096,Tizimin,Tizimín,31096,5,V Noreste ,1,Tizimín,4547701,11807,SERVICIO YUCATANENSE S DE RL DE CV,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,21.14629845,-88.13744596,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4516417,ADITIVOS Y LUBRICANTES DE LA 63,,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,20.96250657,-89.60630616,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6224040,AMÉRICAS,GASOLINERA ROMA SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.05784631,-89.64371148,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8639544,ANIKABIL,SERVICIOS SAN NICOLAS SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.99375591,-89.68277216,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6712361,AREA DE HIDROLAVADORA Y ASPIRADORA GRATIS,COMBUSTIBLES Y LUBRICANTES POLIFORUM SA DE CV,468411,Comercio al por menor de gasolina y diesel,0 a 5 personas,20.94445915,-89.59201756,2016-01
31,Yucatán       ,052,Motul,Motul,31052,4,IV Litoral centro ,1,Motul de Carrillo Puerto,6416054,AUTOSERVICIO MOTUL YUCATAN,AUTOSERVICIO YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.11433818,-89.28131479,2014-12
31,Yucatán       ,075,Teabo,Teabo,31075,7,VII Sur ,146,Autoservicio Yucatán [Gasolinera],6416052,AUTOSERVICIO TEABO YUCATAN,AUTOSERVICIO YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.40403636,-89.30649249,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6414244,AUTOSERVICIO YUCATAN,AUTOSERVICIO YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.99575941,-89.62370504,2010-07
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8167836,CARBURANTES DE YUCATAN CAUCEL,CARBURANTES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,6 a 10 personas,20.99237542,-89.67994686,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8611749,CARBURANTES DE YUCATAN CIRCUITO PONIENTE,CARBURANTES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.94263412,-89.64839329,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8901356,CARBURANTES DE YUCATAN PARAISO MAYA,CARBURANTES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.01835055,-89.56919974,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8359068,CARBURANTES DE YUCATAN PERINORTE,CARBURANTES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.02605101,-89.57227091,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8611750,CARBURANTES DE YUCATAN PERISUR,CARBURANTES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.90685968,-89.67758246,2019-11
31,Yucatán       ,059,Progreso,Progreso,31059,2,II Noroeste ,1,Progreso,6874525,CARBURANTES DE YUCATAN PROGRESO,CARBURANTES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.27730689,-89.66249872,2019-04
31,Yucatán       ,096,Tizimin,Tizimín,31096,5,V Noreste ,1,Tizimín,8236136,CARBURANTES DE YUCATAN TIZIMIN,CARBURANTES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.13070479,-88.15438471,2019-11
31,Yucatán       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6873925,CARBURANTES DE YUCATAN UMAN,CARBURANTES DE YUCATAN SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,20.90669208,-89.6774882,2019-04
31,Yucatán       ,059,Progreso,Progreso,31059,2,II Noroeste ,1,Progreso,6413511,CARBURANTES Y LUBRICANTES DE PROGRESO,CARBURANTES Y LUBRICANTES DE PROGRESO SA DE CV,468411,Comercio al por menor de gasolina y diesel,11 a 30 personas,21.28116953,-89.66284497,2010-07
