cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,id_region,region,cve_geo,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,YUCATÁN       ,102,Valladolid,Valladolid,6,VI Oriente,31102,1,Valladolid,4544218,20/O. REGIMIENTO CABALLERIA MOTORIZADO,SECRETARÍA DE LA DEFENSA NACIONAL ,931810,Actividades de seguridad nacional,251 y más personas,20.69057931,-88.18373894,2014-12
31,YUCATÁN       ,091,Tinum,Tinum,6,VI Oriente,31091,4,Chichén Itzá,4541398,A.A.F.Y.,AGENCIA DE ADMINISTRACIÓN FISCAL DE YUCATAN ,931210,Administración pública en general,11 a 30 personas,20.67862444,-88.56784806,2014-12
31,YUCATÁN       ,050,Merida,Mérida,2,II Noroeste ,31050,1,Mérida,4516522,AAFI,AGENCIA DE ADMINISTRACION FISCAL ,931210,Administración pública en general,6 a 10 personas,20.95829395,-89.60962606,2010-07
31,YUCATÁN       ,050,Merida,Mérida,2,II Noroeste ,31050,1,Mérida,7606202,AAFY,SECRETARIA DE ADMINITRACION Y FINANZAS ,931210,Administración pública en general,251 y más personas,21.03298797,-89.6277161,2019-11
31,YUCATÁN       ,056,Oxkutzcab,Oxkutzcab,7,VII Sur ,31056,1,Oxkutzcab,4497993,ADMINISTRACION DE LA CENTRAL DE ABASTOS,HONORABLE AYUNTAMIENTO DE OXKUTZCAB ,931210,Administración pública en general,11 a 30 personas,20.29822515,-89.40013719,2010-07
31,YUCATÁN       ,050,Merida,Mérida,2,II Noroeste ,31050,1,Mérida,4580700,ADMINISTRACION DEL PATRIMONIO DE LA BENEFICENCIA PUBLICA DEL ESTADO DE YUC,ADMINISTRACION DEL PATRIMONIO DE LA BENEFICENCIA PUBLICA DEL ESTADO DE YUC ,931610,Actividades administrativas de instituciones de bienestar social,6 a 10 personas,20.97176783,-89.62840851,2010-07
31,YUCATÁN       ,052,Motul,Motul,4,IV Litoral centro ,31052,1,Motul de Carrillo Puerto,4504747,"ADMINISTRACION, FINANZAS Y TESORERIA",GOBIERNO ,931210,Administración pública en general,11 a 30 personas,21.09583124,-89.2837811,2010-07
31,YUCATÁN       ,059,Progreso,Progreso,2,II Noroeste ,31059,1,Progreso,8419277,ADUANA DE PROGRESO,GOBIERNO FEDERAL SERVICIO DE ADMINISTRACION TRIBUTARIA ,931210,Administración pública en general,51 a 100 personas,21.34628866,-89.67339158,2019-11
31,YUCATÁN       ,079,Tekax,Tekax,7,VII Sur ,31079,1,Tekax de Álvaro Obregón,4501830,AGENCIA 12 DEL MINISTERIO PUBLICO DE LA FISCALIA GENERAL DEL ESTADO,FISCALÍA GENERAL DEL ESTADO ,931410,Impartición de justicia y mantenimiento de la seguridad y el orden público,11 a 30 personas,20.20862306,-89.28386469,2010-07
31,YUCATÁN       ,096,Tizimin,Tizimín,5,V Noreste ,31096,1,Tizimín,4487016,AGENCIA 15 DEL MINISTERIO PUBLICO DEL FUERO COMUN,GOBIERNO DEL ESTADO ,931410,Impartición de justicia y mantenimiento de la seguridad y el orden público,11 a 30 personas,21.14152658,-88.13793646,2010-07
