cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,id_region,region,cve_geo,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,Yucatán       ,102,Valladolid,Valladolid,6,VI Oriente,31102,1,Valladolid,6472927,04 DE JUNIO NOCTURNO,SECRETARIA DE EDUCACION PuBLICA ,611122,Escuelas de educacion primaria del sector publico,0 a 5 personas,20.69724311,-88.20130833,2016-01
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8353679,180 REMY DANCE,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.99626765,-89.58698215,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7990929,360 INSTITUTO DE FORMACION INTEGRAL,,611698,Otros servicios educativos proporcionados por el sector privado,0 a 5 personas,20.97739155,-89.64336172,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7688606,ABCDANZA,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.01795144,-89.59298749,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7674633,ACADEMIA 440,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.97141427,-89.60047939,2019-11
31,Yucatán       ,059,Progreso,Progreso,2,II Noroeste ,31059,1,Progreso,7316381,ACADEMIA ARMONIA,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.28098262,-89.66390708,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7688485,ACADEMIA BEND,,611611,Escuelas de arte del sector privado,6 a 10 personas,21.0072253,-89.58939256,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4586739,ACADEMIA CARMEN,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.98920508,-89.60787514,2010-07
31,Yucatán       ,052,Motul,Motul,4,IV Litoral centro ,31052,1,Motul de Carrillo Puerto,7688257,ACADEMIA CENTRO DE TAE CUANDO LIBRE,,611621,Escuelas de deporte del sector privado,0 a 5 personas,21.09823075,-89.29855097,2019-11
31,Yucatán       ,040,Izamal,Izamal,3,III Centro ,31040,1,Izamal,4510093,ACADEMIA CORTE Y CONFECCION ZOILI,,611511,Escuelas del sector privado dedicadas a la enseñanza de oficios,0 a 5 personas,20.93260854,-89.01536866,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4533015,ACADEMIA CREARDANCE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.9534651,-89.58600504,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8842447,ACADEMIA DANC JAZZ,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.97562795,-89.58933539,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,7006788,ACADEMIA DANCE CLASS,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.92154908,-89.62799935,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4525576,ACADEMIA DANZARE,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.99797098,-89.69015126,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4577876,ACADEMIA DANZART,,611611,Escuelas de arte del sector privado,6 a 10 personas,20.99547012,-89.64223744,2010-07
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4518800,ACADEMIA DE ARTES EXPRESARTE,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.02986613,-89.65273923,2014-12
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8647229,ACADEMIA DE ARTES MARCIALES SPARTANS ACADEMY,,611621,Escuelas de deporte del sector privado,0 a 5 personas,20.95797461,-89.6696297,2019-11
31,Yucatán       ,102,Valladolid,Valladolid,6,VI Oriente,31102,1,Valladolid,7724686,ACADEMIA DE BAILE DANCE UP,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.69056594,-88.19577075,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8352934,ACADEMIA DE BAILE DONT STOP DANCING,,611611,Escuelas de arte del sector privado,0 a 5 personas,20.96155191,-89.59285605,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,8647173,ACADEMIA DE BAILE HERENCIA RUMBERA,,611611,Escuelas de arte del sector privado,0 a 5 personas,21.02794784,-89.63578915,2019-11
31,Yucatán       ,050,Merida,Merida,2,II Noroeste ,31050,1,Merida,4573112,ACADEMIA DE BAILE PER LEI,,611611,Escuelas de arte del sector privado,6 a 10 personas,21.03480558,-89.6494673,2010-07
