cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,8413397,FABRICACION DE COMPONENTES ELECTRONICOS SIN NOMBRE,,334410,Fabricación de componentes electrónicos,0 a 5 personas,20.96218829,-89.61372045,2019-11
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,9293097,FALCO ELECTRONICS,FALCO ELECTRONICS MEXICO SA DE CV,334410,Fabricación de componentes electrónicos,31 a 50 personas,21.02658866,-89.62454973,2020-11
31,YUCATÁN       ,101,Uman,Umán,31101,2,II Noroeste ,1,Umán,6414186,FALCO ELECTRONICS MEXICO,FALCO ELECTRONICS MEXICO SA DE CV,334410,Fabricación de componentes electrónicos,251 y más personas,20.91963988,-89.69577848,2010-07
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6751938,SOLARSOL,PRODUCCIONES SOLARES DE MEXICO SA DE CV ,334410,Fabricación de componentes electrónicos,6 a 10 personas,21.05624629,-89.64050985,2016-10
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,4520703,TAMBSA,TRANSFORMADORES ARANCADORES MOTERES Y BOMBAS SA DE CV,334410,Fabricación de componentes electrónicos,11 a 30 personas,20.98119075,-89.64833619,2014-12
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6414396,ALMACEN DE GRANOS DE LA PENINSULA,ALMACEN DE GRANOS DE LA PENINSULA SA DE CV,493130,Almacenamiento de productos agrícolas que no requieren refrigeración,51 a 100 personas,20.92957269,-89.68180351,2011-03
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1032,Tl del Sur,6742957,ALMACENES GENERALES DE DEPÓSITO,HIDROSUR ASFALTOS SAPI DE CV,493111,Almacenes generales de depósito,11 a 30 personas,21.16576575,-89.6492333,2016-10
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6279674,ARGO ALMACENADORA SA DE CV,ARGO ALMACENADORA SA DE CV,493111,Almacenes generales de depósito,11 a 30 personas,21.06015697,-89.64129324,2014-12
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1029,Harinera de Yucatán [Fábrica],6469010,"COMPAÑÍA NACIONAL ALMACENADORA,",COMPAÑIA NACIONAL ALMACENADORA SA DE CV,493130,Almacenamiento de productos agrícolas que no requieren refrigeración,0 a 5 personas,21.09167,-89.64,2014-12
31,YUCATÁN       ,101,Uman,Umán,31101,2,II Noroeste ,1,Umán,4559959,ENLACE COMERCIAL Y LOGISTICO BARBS,ENLACE COMERCIAL Y LOGISTICO BARBS SA DE CV,493130,Almacenamiento de productos agrícolas que no requieren refrigeración,6 a 10 personas,20.890066,-89.744804,2014-12
