cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,cve_local,nom_local,pobtot
31,Yucatán,1,Abala,Abalá,31001,0000,Total del Municipio,6356
31,Yucatán,1,Abala,Abalá,31001,0001,Abalá,1890
31,Yucatán,1,Abala,Abalá,31001,0003,Mucuyché,494
31,Yucatán,1,Abala,Abalá,31001,0005,Sihunchén,334
31,Yucatán,1,Abala,Abalá,31001,0006,Temozón,760
31,Yucatán,1,Abala,Abalá,31001,0007,Uayalceh,2323
31,Yucatán,1,Abala,Abalá,31001,0008,Peba,271
31,Yucatán,1,Abala,Abalá,31001,0009,Cacao,276
31,Yucatán,1,Abala,Abalá,31001,0025,San Juan Tehbacal,1
31,Yucatán,1,Abala,Abalá,31001,0027,Víctor,7
31,Yucatán,1,Abala,Abalá,31001,9998,Localidades de una vivienda,1
31,Yucatán,1,Abala,Abalá,31001,9999,Localidades de dos viviendas,7
31,Yucatán,2,Acanceh,Acanceh,31002,0000,Total del Municipio,15337
31,Yucatán,2,Acanceh,Acanceh,31002,0001,Acanceh,10968
31,Yucatán,2,Acanceh,Acanceh,31002,0002,Canicab,758
31,Yucatán,2,Acanceh,Acanceh,31002,0003,Cibceh,64
31,Yucatán,2,Acanceh,Acanceh,31002,0005,Petectunich,600
31,Yucatán,2,Acanceh,Acanceh,31002,0006,Sacchich,233
31,Yucatán,2,Acanceh,Acanceh,31002,0010,Tepich Carrillo,914
31,Yucatán,2,Acanceh,Acanceh,31002,0011,Ticopó,1660
31,Yucatán,2,Acanceh,Acanceh,31002,0014,Dzitiná,91
31,Yucatán,2,Acanceh,Acanceh,31002,0016,San Lorenzo Pelé,2
31,Yucatán,2,Acanceh,Acanceh,31002,0019,San José Uno,2
31,Yucatán,2,Acanceh,Acanceh,31002,0032,Guadalupano,1
31,Yucatán,2,Acanceh,Acanceh,31002,0034,Ninguno,1
31,Yucatán,2,Acanceh,Acanceh,31002,0053,Santa Isabel [Paraje],2
31,Yucatán,2,Acanceh,Acanceh,31002,0054,Plantel Siete,11
31,Yucatán,2,Acanceh,Acanceh,31002,0068,Ninguno,2
31,Yucatán,2,Acanceh,Acanceh,31002,0071,Chakahil,5
31,Yucatán,2,Acanceh,Acanceh,31002,0072,Las Concordias,4
31,Yucatán,2,Acanceh,Acanceh,31002,0077,Ninguno,10
31,Yucatán,2,Acanceh,Acanceh,31002,0079,Las Margaritas,9
31,Yucatán,2,Acanceh,Acanceh,31002,9998,Localidades de una vivienda,28
31,Yucatán,3,Akil,Akil,31003,0000,Total del Municipio,10362
31,Yucatán,3,Akil,Akil,31003,0001,Akil,10176
31,Yucatán,3,Akil,Akil,31003,0003,San Diego,62
31,Yucatán,3,Akil,Akil,31003,0004,San Víctor,8
31,Yucatán,3,Akil,Akil,31003,0013,Plan Chac Pozo Tres,19
31,Yucatán,3,Akil,Akil,31003,0028,Ox-Ac II,3
31,Yucatán,3,Akil,Akil,31003,0043,Plan Chac Pozo Cuatro,9
31,Yucatán,3,Akil,Akil,31003,0044,San Bernardo,17
31,Yucatán,3,Akil,Akil,31003,0051,Cinco de Mayo,44
31,Yucatán,3,Akil,Akil,31003,0054,Luis Echeverría Álvarez,9
31,Yucatán,3,Akil,Akil,31003,0056,Independencia,8
31,Yucatán,3,Akil,Akil,31003,0057,Ox-Ac IV,1
31,Yucatán,3,Akil,Akil,31003,0059,San Pablo Tres,6
31,Yucatán,3,Akil,Akil,31003,9998,Localidades de una vivienda,28
31,Yucatán,3,Akil,Akil,31003,9999,Localidades de dos viviendas,16
31,Yucatán,4,Baca,Baca,31004,0000,Total del Municipio,5701
31,Yucatán,4,Baca,Baca,31004,0001,Baca,4553
31,Yucatán,4,Baca,Baca,31004,0004,San Isidro Kuxub,209
31,Yucatán,4,Baca,Baca,31004,0010,Tixkuncheil,799
31,Yucatán,4,Baca,Baca,31004,0012,Kankabchén Gamboa,58
31,Yucatán,4,Baca,Baca,31004,0018,San Pedro,3
31,Yucatán,4,Baca,Baca,31004,0032,Baca Dos,3
31,Yucatán,4,Baca,Baca,31004,0034,Kankabchén,10
31,Yucatán,4,Baca,Baca,31004,0041,Nok Ak,5
31,Yucatán,4,Baca,Baca,31004,0048,Put-Ku,10
31,Yucatán,4,Baca,Baca,31004,0049,Concepción Xtuc,3
31,Yucatán,4,Baca,Baca,31004,0050,San Diego,1
31,Yucatán,4,Baca,Baca,31004,0053,Chácara Da Bugambilias,4
31,Yucatán,4,Baca,Baca,31004,0066,La Comunidad,6
31,Yucatán,4,Baca,Baca,31004,0067,La Lupita,1
31,Yucatán,4,Baca,Baca,31004,0075,Los Potrillos,7
31,Yucatán,4,Baca,Baca,31004,0079,Chelito Lindo,3
31,Yucatán,4,Baca,Baca,31004,0080,Esmeralda,5
31,Yucatán,4,Baca,Baca,31004,0092,Los Conejos [Club de Tiro],7
31,Yucatán,4,Baca,Baca,31004,0103,Ninguno,4
31,Yucatán,4,Baca,Baca,31004,0105,La Morena,2
31,Yucatán,4,Baca,Baca,31004,0106,Nidia,7
31,Yucatán,4,Baca,Baca,31004,0112,Tumben Há,1
31,Yucatán,4,Baca,Baca,31004,9998,Localidades de una vivienda,58
31,Yucatán,4,Baca,Baca,31004,9999,Localidades de dos viviendas,14
31,Yucatán,5,Bokoba,Bokobá,31005,0000,Total del Municipio,2053
31,Yucatán,5,Bokoba,Bokobá,31005,0001,Bokobá,2052
31,Yucatán,5,Bokoba,Bokobá,31005,0002,Mucuyché Campos,1
31,Yucatán,5,Bokoba,Bokobá,31005,9998,Localidades de una vivienda,1
31,Yucatán,6,Buctzotz,Buctzotz,31006,0000,Total del Municipio,8637
31,Yucatán,6,Buctzotz,Buctzotz,31006,0001,Buctzotz,7515
31,Yucatán,6,Buctzotz,Buctzotz,31006,0002,X-Bec,462
31,Yucatán,6,Buctzotz,Buctzotz,31006,0003,Santo Domingo,186
31,Yucatán,6,Buctzotz,Buctzotz,31006,0004,La Gran Lucha,236
31,Yucatán,6,Buctzotz,Buctzotz,31006,0041,Haydzonot,3
31,Yucatán,6,Buctzotz,Buctzotz,31006,0052,El Lirio,1
31,Yucatán,6,Buctzotz,Buctzotz,31006,0053,Nitkichén,3
31,Yucatán,6,Buctzotz,Buctzotz,31006,0080,San Francisco,144
31,Yucatán,6,Buctzotz,Buctzotz,31006,0081,San Genaro,2
31,Yucatán,6,Buctzotz,Buctzotz,31006,0110,Santa Rosa,6
31,Yucatán,6,Buctzotz,Buctzotz,31006,0123,Kan Há,5
31,Yucatán,6,Buctzotz,Buctzotz,31006,0128,Yahcox,2
31,Yucatán,6,Buctzotz,Buctzotz,31006,0134,Santa Cruz,3
31,Yucatán,6,Buctzotz,Buctzotz,31006,0188,San José,6
31,Yucatán,6,Buctzotz,Buctzotz,31006,0218,San Martín,4
31,Yucatán,6,Buctzotz,Buctzotz,31006,0280,San Marcos,5
31,Yucatán,6,Buctzotz,Buctzotz,31006,0291,San Nicolás,1
31,Yucatán,6,Buctzotz,Buctzotz,31006,0306,Arco Hopchén,6
31,Yucatán,6,Buctzotz,Buctzotz,31006,0323,La Gran China,1
31,Yucatán,6,Buctzotz,Buctzotz,31006,0324,Kanhá,4
31,Yucatán,6,Buctzotz,Buctzotz,31006,0341,La Rosita,5
31,Yucatán,6,Buctzotz,Buctzotz,31006,0390,San José,9
