cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,cve_local,nom_local,pobtot,pnacoe,p3ym_hli,vivtot,vph_aeasp,vph_c_serv,vph_cel,vph_inter
31,Yucatán,001,Abala,Abalá,31001,0001,Abalá,2039,21,548,742,591,532,516,181
31,Yucatán,001,Abala,Abalá,31001,0003,Mucuyché,490,0,345,185,146,66,92,6
31,Yucatán,001,Abala,Abalá,31001,0005,Sihunchén,282,0,76,96,80,70,64,13
31,Yucatán,001,Abala,Abalá,31001,0006,Temozón,668,2,310,228,161,142,137,72
31,Yucatán,001,Abala,Abalá,31001,0007,Uayalceh,2608,5,2101,771,665,459,467,58
31,Yucatán,001,Abala,Abalá,31001,0008,Peba,239,0,68,92,73,58,60,14
31,Yucatán,001,Abala,Abalá,31001,0009,Cacao,220,0,33,91,64,56,45,1
31,Yucatán,001,Abala,Abalá,31001,0065,Arturo Caamal Carrillo,2,*,*,2,*,*,*,*
31,Yucatán,001,Abala,Abalá,31001,0069,Margaritas,2,*,*,1,*,*,*,*
31,Yucatán,001,Abala,Abalá,31001,9998,Localidades de una vivienda,4,*,*,3,*,*,*,*
31,Yucatán,002,Acanceh,Acanceh,31002,0001,Acanceh,11917,172,2595,3395,2926,2493,2572,1016
31,Yucatán,002,Acanceh,Acanceh,31002,0002,Canicab,855,16,431,286,243,200,191,103
31,Yucatán,002,Acanceh,Acanceh,31002,0003,Cibceh,52,0,22,18,15,8,6,4
31,Yucatán,002,Acanceh,Acanceh,31002,0005,Petectunich,695,7,375,210,167,112,136,11
31,Yucatán,002,Acanceh,Acanceh,31002,0006,Sacchich,262,0,39,77,66,46,48,25
31,Yucatán,002,Acanceh,Acanceh,31002,0010,Tepich Carrillo,965,37,470,280,234,197,213,50
31,Yucatán,002,Acanceh,Acanceh,31002,0011,Ticopó,1869,46,450,605,504,379,430,147
31,Yucatán,002,Acanceh,Acanceh,31002,0012,Yabucú,2,*,*,1,*,*,*,*
31,Yucatán,002,Acanceh,Acanceh,31002,0014,Dzitiná,111,2,48,28,28,26,25,4
31,Yucatán,002,Acanceh,Acanceh,31002,0028,San Emilio,3,*,*,1,*,*,*,*
31,Yucatán,002,Acanceh,Acanceh,31002,0054,Plantel Siete,1,*,*,1,*,*,*,*
31,Yucatán,002,Acanceh,Acanceh,31002,0061,Mega Servicios [Gasolinera],1,*,*,1,*,*,*,*
