cve_ent,nom_ent,cve_mun,nom_mun,mun_ori,cve_geo,id_region,region,cve_local,nom_local,id_ue,nom_ue,razon_soc,cod_act,nom_act,num_per,lat,long,fecha
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6413721,ABASTOS DE MERIDA,ABASTOS DE MERIDA ,311611,"Matanza de ganado, aves y otros animales comestibles",101 a 250 personas,20.98958019,-89.66767237,2010-07
31,YUCATÁN       ,096,Tizimin,Tizimín,31096,5,V Noreste ,1,Tizimín,6412929,AGROYUC,AGROINDUSTRIAS DEL ORIENTE DE YUCATAN ARIC DE RL DE CV,311611,"Matanza de ganado, aves y otros animales comestibles",51 a 100 personas,21.15206064,-88.17438231,2010-07
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,6414464,ALIMENTOS ZU,ALIMENTOS ZU SA DE CV,311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles",11 a 30 personas,20.95950781,-89.67685086,2010-07
31,YUCATÁN       ,041,Kanasin,Kanasín,31041,2,II Noroeste ,40,El Pedregal,9252194,KEKEN SAHE PROCESADORA,COMERCIALIZADORA PORCICOLA MEXICANA SA DE CV,311611,"Matanza de ganado, aves y otros animales comestibles",251 y más personas,20.91743396,-89.48733084,2020-04
31,YUCATÁN       ,101,Uman,Umán,31101,2,II Noroeste ,1,Umán,6413751,PLANTA PROCESADORA DE AVES DIVISION PENINSULA,BACHOCO SA DE CV,311611,"Matanza de ganado, aves y otros animales comestibles",251 y más personas,20.89897931,-89.72777148,2010-07
31,YUCATÁN       ,041,Kanasin,Kanasín,31041,2,II Noroeste ,240,Andy Santos Poot,6413260,RASTRO CRIO,POLLO INDUSTRIALIZADO DE MEXICO SA DE CV,311611,"Matanza de ganado, aves y otros animales comestibles",251 y más personas,20.90361111,-89.52583333,2010-07
31,YUCATÁN       ,040,Izamal,Izamal,31040,3,III Centro ,1,Izamal,4509254,RASTRO MUNICIPAL,HONORABLE AYUNTAMIENTO DE IZAMAL ,311611,"Matanza de ganado, aves y otros animales comestibles",6 a 10 personas,20.92292258,-89.02161714,2010-07
31,YUCATÁN       ,041,Kanasin,Kanasín,31041,2,II Noroeste ,1,Kanasín,4534748,RASTRO MUNICIPAL,H. AYUNTAMIENTO DE KANASIN ,311611,"Matanza de ganado, aves y otros animales comestibles",11 a 30 personas,20.92783572,-89.54601657,2014-12
31,YUCATÁN       ,013,Conkal,Conkal,31013,2,II Noroeste ,1,Conkal,4506117,RASTRO MUNICIPAL,HONORABLE AYUNTAMIENTO DE CONKAL ,311611,"Matanza de ganado, aves y otros animales comestibles",6 a 10 personas,21.06969117,-89.52464853,2010-07
31,YUCATÁN       ,079,Tekax,Tekax,31079,7,VII Sur ,1,Tekax de Álvaro Obregón,4501600,RASTRO MUNICIPAL,H. AYUNTAMIENTO DE TEKAX ,311611,"Matanza de ganado, aves y otros animales comestibles",6 a 10 personas,20.22496634,-89.305355,2010-07
31,YUCATÁN       ,058,Peto,Peto,31058,6,VI Oriente,1,Peto,4564384,RASTRO MUNICIPAL,HONORABLE AYUNTAMIENTO DE PETO ,311611,"Matanza de ganado, aves y otros animales comestibles",11 a 30 personas,20.1040271,-88.91750489,2014-12
31,YUCATÁN       ,102,Valladolid,Valladolid,31102,6,VI Oriente,1,Valladolid,4542568,RASTRO MUNICIPAL DE VALLADOLID,H AYUNTAMIENTO DE VALLADOLID ,311611,"Matanza de ganado, aves y otros animales comestibles",31 a 50 personas,20.69510357,-88.22822137,2014-12
31,YUCATÁN       ,032,Espita,Espita,31032,5,V Noreste ,1,Espita,4593522,RASTRO MUNICIPAL PUBLICO,H AYUNTAMIENTO DE ESPITA YUCATAN ,311611,"Matanza de ganado, aves y otros animales comestibles",6 a 10 personas,21.01460306,-88.3096023,2010-07
31,YUCATÁN       ,101,Uman,Umán,31101,2,II Noroeste ,1,Umán,4586038,RASTRO MUNICIPAL UMAN,HONORABLE AYUNTAMIENTO DE UMAN ,311611,"Matanza de ganado, aves y otros animales comestibles",6 a 10 personas,20.87179275,-89.75367579,2010-07
31,YUCATÁN       ,101,Uman,Umán,31101,2,II Noroeste ,70,Rastro Kekén,8001136,RASTRO UMAN KEKEN,COMERCIALIZADORA PORCICOLA MEXICANA SA DE CV,311611,"Matanza de ganado, aves y otros animales comestibles",251 y más personas,20.85694885,-89.76945438,2019-11
31,YUCATÁN       ,050,Merida,Mérida,31050,2,II Noroeste ,1,Mérida,7514777,TRES CARNES,,311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles",11 a 30 personas,20.9291941,-89.68224415,2019-11
