Sector,Definición
Energía,
,
Meta,Definición
,"Consolidar al Estado de Yucatán como productor de energía limpia y confiable para asegurar la suficiencia energética mediante criterios de uso sostenible del territorio, certidumbre jurídica y desarrollo ordenado e incluyente del sector, que permitan aprovechar los recursos para crear un valor económico, ambiental y social."
,
Energía industrial,Fuentes de energía a escala industrial.
Criterio,Definición
Hidrocarburos líquidos,Consumo y almacenamiento de hidrocarburos líquidos. Plantas que utilizan diesel o combustóleo para generar energía. Terminales de almacenamiento y reparto.
Gas natural,Transporte de gas natural por gasoductos y vehículos terrestres. Terminales de almacenamiento y centrales eléctricas. Uso de gas comprimido por empresas.
Solar,Instalaciones industriales que aprovechan la irradiación solar como fuente de energía.
Eólico,"Instalaciones de generación de energía, mayores a 0.5 MW."
Biomasa industrial,"Proyectos diseñados que utilizan material biológico, para conversion en energía utilizable. Incluye los desechos de granjas porcícolas para producir energía eléctrica."
,
Energía comunitaria,Fuentes de energía utilizadas en las comunidades.
Criterio,Definición
Biomasa comunitaria,"Leña, carbón vegetal"
Eólica  comunitaria,
Solar comunitaria,
,
,
,
Hidrocarburos líquidos,
Atributos,Definición
Distancia a carreteras,Distancia a carreteras
Distancia a poblaciones,Distancia a a asentamientos humanos
Ductos,Red de ductos
Puerto,Puerto Progreso
Vías férreas,Red de vías férreas
,
Gas natural,
Atributos,Definición
Distancia a poblaciones,Distancia a a asentamientos humanos.
Ductos,Red de ductos.
Zonas industriales,Zonas industriales que demandan gas natural.
,
,
Solar,
Atributos,Definición
Tipo de cobertura,Tipo de uso de suelo y vegetación que determina la carga animal y la   biodiversidad vegetal.
Tipo de tenencia,Áreas ejidales (comunitaria o parcelada) y no ejidales.
Redes eléctricas,Líneas de transmisión y subestaciones.
