Sector,Definición
Industrial ,
,
Meta,Definición
,"Incrementar la productividad considerando los elementos de producción, las actividades e infraestructura de producción, almacenamiento y centro de distribución y de logística y comercialización de productos terminados. Disminuir el impacto ambiental: consumo de suelo y recursos, y generación de residuos."
,
Tipo de industria,
Pesada y mediana,Industria mediana y pesada (incluye agroindustria y manufactura como las principales)
,
Infraestructura,
Criterio,Definición
Energía,Energía eléctrica: acceso y calidad/capacidad de infraestructura eléctrica (CENACE capacidad de carga en nodos)
Distacia a agua,"Distancia a red de agua potable, plantas de tratamiento, cobertura"
Conectividad,Capacidad de hacer conexiones a centros de abastecimiento de mano de obra y distribución de productos
Distancia a residuos,"Manejo de residuos: distancia a sitios de disposición final (basureros, rellenos sanitarios, disposición de residuos peligrosos)"
Comunicación,Telecomunicaciones: cobertura de red (IFETEL)
,
Conectividad,
Subcriterio,Definición
Distancia a carreteras,Distancia a carreteras
Distancia ferroviaria,Distancia ferroviaria
Distancia a puertos,Distancia a puertos
,
Socioeconómicos,
Criterio,Definición
Industria instalada,"Centros urbanos con predominancia de actividad industrial, corredores industriales, servicios anexos – talleres, bodegas (fuente: INEGI - DNUE) y proyectos industriales autorizados (fuente: MIA)"
Localidades,
Tenencia,Tenencia de la tierra: terrenos ejidales o propiedad privada
,
Biofísicos,
Criterio,Definición
Cobertura  ,"Zonas urbanas, asentamientos humanos"
Disponibilidad de agua  ,Disponibilidad de agua: factibilidad para el aprovechamiento directo- pozos: capacidad de extracción (distancia a manto freático) y calidad
Emisiones,"Dispersión de emisiones: se cuenta con información de zonas con mayor dispersión de contaminantes al aire, con base en datos obtenidos en casetas de medición y de vulnerabilidad por movimiento de contaminantes en agua subterránea (fuente: Atlas de peligros de Yucatán)"
