Sector,Definición
Urbano,
,
Meta,Definición
,"Contener la expansión urbana y aprovechar las zonas con infraestructura en Mérida(?). 
Fomentar la descentralización en Yucatán. 
Generar las condiciones en todas sus vertientes para el desarrollo urbano en todo el estado."
,
Atributos,Definición
Demográficos,Características de la dinámica de la población que determinan el desarrollo urbano y el crecimiento de asentamientos humanos.
Urbanos,Atributos funcionales urbanos que determinan el crecimiento de asentamientos humanos.
,
Demográficos,
Atributo,Definición
Tasa crecimiento,Tasa de crecimiento poblacional 10 años (2000-2010).
Población,Número de habitantes.
Densidad,Número de habitantes por hectárea.
Inmigración,Porcentaje de la población total nacida fuera de la entidad o país.
Población indígena,Porcentaje de la población índígena en el asentamiento.
,
Urbanos,
Atributo,Definición
Fuente de empleo,Distancia a las fuentes de empleo.
Infraestructura,Cobertura de las redes de agua potable y energía eléctrica.
Equipamiento,"Elementos que pueden dar servicios a la población: centros de salud, escuelas, edificios administrativos, transportes, correos y almacenamiento."
Conectividad,Vinculación de asentamientos a través de la infraestructura vial.
,
,
Equipamiento,
Atributo,Definición
Escuelas,"Número total de escuelas de nivel medio técnico, medio superior y superior."
Centros de salud,Número total de centros de salud.
Edificios administrativos,"Unidades totales, incluye actividades legislativas gubernamentales."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Conectividad,
Subcriterio,Definición
Distancia a carreteras,Distancia a carreteras
Distancia ferroviaria,Distancia ferroviaria
Distancia a puertos,Distancia a puertos
